model_name,metrics_path,output_dir,dataset_dir,created_at,row_count,train_rows,test_rows,epochs,batch_size,hidden,purpose,input_policy,test_accuracy,test_precision,test_recall,test_f1,top1_hit_rate,top3_hit_rate,top1_safe_rate,top3_safe_rate,top1_success_rate,top3_success_rate
20260625_supportmap_c17_c19_multi_tensor_drift_guarded_train,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260625_supportmap_c17_c19_multi_tensor_drift_guarded_train\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260625_supportmap_c17_c19_multi_tensor_drift_guarded_train,,2026-06-25T09:12:29,7862,,,90,96,224,,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_learning_dataset,2026-06-25T13:29:15,6498,5874,624,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.8461538461538461,0.18085106382978725,0.4722222222222222,0.26153846153846155,0.3870967741935484,0.5483870967741935,,,,
20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_pose_ranker_structure,,2026-06-25T13:30:11,2579,,,70,128,192,,,,,,,,,,,,
20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_wall_state_critic,,2026-06-25T13:30:34,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_learning_dataset,2026-06-25T19:36:03,6498,5874,624,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.7964743589743589,0.14285714285714285,0.40476190476190477,0.2111801242236025,0.38235294117647056,0.5588235294117647,,,,
20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_pose_ranker_structure,,2026-06-25T19:36:40,2669,,,70,128,192,,,,,,,,,,,,
20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_wall_state_critic,,2026-06-25T19:37:01,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
20260625_supportmap_c20_c21_recent_courseweighted_train,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260625_supportmap_c20_c21_recent_courseweighted_train\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260625_supportmap_c20_c21_recent_courseweighted_train,,2026-06-25T22:08:43,5248,,,35,256,160,,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_learning_dataset,2026-06-26T01:53:01,6498,3810,2688,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.7819940476190477,0.08875739644970414,0.26627218934911245,0.13313609467455623,0.10526315789473684,0.2894736842105263,,,,
20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_pose_ranker_structure,,2026-06-26T01:54:05,2734,,,70,128,192,,,,,,,,,,,,
