index,source_kind,seed,volume,surface_area,bbox_x,bbox_y,bbox_z,elongation,flatness,sphericity,roughness,angularity,spike_score,compactness,stability_score,mass,cluster_id,cluster_label
222,tie_bridge_clast,1266311945,0.0005404690025843652,0.035324503286630254,0.13516280763683525,0.09333437031937351,0.09187182086880474,1.4481568491257004,1.0159194564420067,0.9083542546472291,0.12913483374324672,0.23408392563942104,0.130000000857883,0.4663260326673893,1.3576549675080856,1.4052194067193498,3,angular_clast
223,equant_clast,624420485,0.001577513439302126,0.07052637571761619,0.14096930459476747,0.16866312887077106,0.15074761231798395,1.1188444465375444,1.0693648007367658,0.9292115582535969,0.07850206318299506,0.23182043367596936,0.1500000002175499,0.44012690281694633,1.1888746950869826,4.101534942185528,6,compact_block_clast_5
224,course_block_clast,255986177,0.0006272673926336513,0.03809274544535222,0.1252531933883322,0.10862621207760535,0.10297422243054827,1.1530660141112912,1.0548874224407871,0.930272803765776,0.08497003021738098,0.23162779231119993,0.11142248695720469,0.4477140754989974,1.193649237283121,1.6308952208474934,9,compact_block_clast_6
225,chock_clast,1609035679,0.0006410943372043191,0.038656184987968197,0.12084189406103041,0.1210254011224188,0.10532250498845494,1.0015185715418835,1.1473511200125428,0.9301359438452947,0.08054548593957168,0.23181208972607886,0.14000000127340773,0.41620443772073573,1.2263039361913997,1.6668452767312296,9,compact_block_clast_6
226,interlock_block_clast,854917894,0.000516034031360862,0.03402481294905925,0.11938077725531776,0.10767791527393468,0.0975289881807948,1.1086839576305947,1.1040606211798922,0.9144092424184217,0.10855080103378986,0.23187042849377576,0.1500000000251076,0.41160778847584234,1.2357602193328079,1.3416884815382413,9,compact_block_clast_6
227,cap_block_clast,1498659456,0.0003380032681610481,0.025478238577388634,0.1022559124684972,0.0909428181618393,0.07792811114681722,1.1243978857849493,1.1670091424454299,0.9210050061127141,0.10669601553186414,0.23169142419878438,0.13000000290941127,0.46641221222441986,1.4103617719834003,0.878808497218725,2,compact_block_clast_3
228,bearing_block_clast,1084107523,0.0014455255261029256,0.06667473738375898,0.16661632580529928,0.1458106950604704,0.12896896430122406,1.1426893324676932,1.130587470020386,0.9272709498617216,0.08534575881305047,0.23185405867610134,0.1400000955834675,0.4613532873517297,1.3543882056643943,3.7583663678676067,6,compact_block_clast_5
229,buttress_clast,1602643700,0.0014281192806062,0.06714142400414352,0.1638650604291716,0.1600619320806083,0.11669138177669144,1.0237603551270893,1.3716688382944482,0.9134186993485695,0.10359282648519647,0.23193768457471103,0.15000107833581877,0.4666070353198905,1.759408762408786,3.71311012957612,11,wedge_or_broad_clast
230,subangular_block,2013063628,0.0016383906991409704,0.0727000971778455,0.1390094070156057,0.177165150574832,0.14006539946341678,1.2648744890140065,1.0075965538626643,0.9244727529683583,0.09404253979502519,0.23189542370098104,0.15667878498169663,0.4749677488562165,1.1871754199636715,4.259815817766523,4,angular_clast_2
231,course_block_clast,742005895,0.0012806900401580914,0.06140656474821477,0.15786136564942443,0.12280821599875757,0.13790980265816308,1.1446711010145905,1.1229688627636956,0.9287496791933687,0.07756172896662453,0.23201247289133256,0.13000005548580407,0.4790111437204899,1.340648184018762,3.3297941044110377,4,angular_clast_2
232,compact_block_clast,845041209,0.0004070007875027336,0.02848386540457432,0.10364209971862404,0.0908741989987207,0.09497762794189984,1.0912264494752855,1.0451550493802637,0.9324281275229387,0.059817931705783076,0.23208617119763325,0.14000000063242735,0.4549850553679383,1.1114545192947243,1.0582020475071074,2,compact_block_clast_3
233,wall_block_clast,535555937,0.0009836299551578458,0.05194878701328716,0.1556457633580869,0.11658258050448406,0.10993499771036166,1.3350687785822375,1.060468303384481,0.920724876394833,0.10649316449562937,0.2329194682892667,0.13000000051945504,0.493088423673518,1.3823846462613625,2.5574378834103992,7,elongated_clast
234,tie_bridge_clast,363060418,0.0008967430353368618,0.048727438082292185,0.14688204327647303,0.11423676659191577,0.11332976027086789,1.2857685634711187,1.0080032492690363,0.9229026388391242,0.10274696945489602,0.23248136570206937,0.13000008716192046,0.47157354642458826,1.205709145399227,2.3315318918758408,4,angular_clast_2
235,equant_clast,1872966328,0.0003936528580914522,0.0278006104400695,0.10218190665109911,0.08973586559714378,0.09146939379458033,1.1171158177846534,1.0193181197495655,0.9343409820576146,0.060218900467620934,0.23195592340065782,0.1300843148637323,0.46935078614123543,1.084483848721804,1.0234974310377758,2,compact_block_clast_3
